iter	MultiClass
0	1.076528439
1	1.05586024
2	1.036730862
3	1.018381808
4	0.9998970002
5	0.9842827931
6	0.9679574022
7	0.9534485719
8	0.9392494078
9	0.9277785331
10	0.9154623841
11	0.9045804373
12	0.8942809977
13	0.8836920281
14	0.8748525385
15	0.8651820108
16	0.8557166874
17	0.8475545143
18	0.838137779
19	0.8306370205
20	0.8226876035
21	0.8156585756
22	0.8099465307
23	0.8035003792
24	0.7968851537
25	0.7911671273
26	0.7842550821
27	0.7788979576
28	0.7733400219
29	0.7681585679
30	0.7627775222
31	0.7569867347
32	0.7519452898
33	0.7462472998
34	0.7413239986
35	0.7368753091
36	0.733055481
37	0.7294258234
38	0.7259145852
39	0.7213999638
40	0.7183467454
41	0.7149450852
42	0.7108466586
43	0.7071892558
44	0.7039809982
45	0.7007526606
46	0.6969325337
47	0.6939269874
48	0.6901511061
49	0.6868690214
50	0.6837856127
51	0.6809750023
52	0.6790051889
53	0.6759370866
54	0.6727796852
55	0.6700810178
56	0.6676191239
57	0.6654062275
58	0.6629587966
59	0.6605935871
60	0.6584196687
61	0.6559340037
62	0.6532149195
63	0.6506859311
64	0.6481881311
65	0.6456590744
66	0.6431797278
67	0.6411459285
68	0.6389405311
69	0.6375580589
70	0.6349017271
71	0.6324157936
72	0.6308301206
73	0.6295730031
74	0.6276495455
75	0.6255252178
76	0.6244024266
77	0.6225022245
78	0.6209658742
79	0.618875469
80	0.6170078481
81	0.615282668
82	0.6126798449
83	0.6108768041
84	0.6094065981
85	0.6070138435
86	0.6053600313
87	0.6039965122
88	0.6029992337
89	0.6014883527
90	0.6006550379
91	0.5987258149
92	0.5972843957
93	0.5956776957
94	0.5937344989
95	0.5920444512
96	0.5909270876
97	0.5892774524
98	0.5875701393
99	0.5864132544
100	0.5844528296
101	0.5826607926
102	0.5805068267
103	0.5794795346
104	0.5785227642
105	0.5764089772
106	0.5752258646
107	0.5745457064
108	0.5729792257
109	0.5720954701
110	0.5712279922
111	0.5703462949
112	0.5696107769
113	0.5686326842
114	0.567478253
115	0.5668096636
116	0.5655330861
117	0.5648863677
118	0.5631723853
119	0.5619341072
120	0.5609890621
121	0.5595778198
122	0.5584146178
123	0.5571431018
124	0.5557044355
125	0.5540035284
126	0.5526894503
127	0.5516946041
128	0.5506186773
129	0.549868153
130	0.5488437836
131	0.5478495887
132	0.5461011784
133	0.545196225
134	0.5441154618
135	0.5432230021
136	0.5426090154
137	0.5415320664
138	0.5401521896
139	0.5390127028
140	0.5375572367
141	0.5362700429
142	0.5355485475
143	0.5339069993
144	0.5333819705
145	0.5319905009
146	0.5311706275
147	0.5300941068
148	0.5293654458
149	0.5283672386
150	0.5267393512
151	0.525513518
152	0.524417684
153	0.5232602739
154	0.5216737973
155	0.520466669
156	0.5195520009
157	0.5189627067
158	0.5182623759
159	0.5166471334
160	0.5155196929
161	0.5142170235
162	0.5131351961
163	0.5125145003
164	0.5112285485
165	0.5099594131
166	0.5083601283
167	0.5076007482
168	0.506620889
169	0.5052417073
170	0.5047769643
171	0.5036852777
172	0.5026782861
173	0.5015952687
174	0.5001989992
175	0.4992822093
176	0.4982092697
177	0.497381189
178	0.496430247
179	0.4950692917
180	0.4941955827
181	0.4930782784
182	0.4916327666
183	0.4898171774
184	0.4893125852
185	0.4886716328
186	0.4871874888
187	0.4866042633
188	0.4860148611
189	0.4852523113
190	0.4842570528
191	0.4832254418
192	0.4816998319
193	0.4810117367
194	0.4798826165
195	0.4787758397
196	0.4779506859
197	0.4771255588
198	0.4756419716
199	0.4747216879
200	0.473228083
201	0.4721656595
202	0.4713236862
203	0.4701891537
204	0.4692697203
205	0.4684250775
206	0.467107598
207	0.4662787019
208	0.465099942
209	0.4641494092
210	0.4631701483
211	0.46229354
212	0.4614876381
213	0.4604981149
214	0.4596403716
215	0.4585137562
216	0.4574539522
217	0.4566067671
218	0.4557748839
219	0.4549682853
220	0.4538636487
221	0.4530827421
222	0.4523332185
223	0.4516579784
224	0.4508056453
225	0.4497756423
226	0.4486363466
227	0.447730127
228	0.4471502514
229	0.445887184
230	0.4448697202
231	0.4438592808
232	0.4427571834
233	0.4411776831
234	0.4401614513
235	0.4389524503
236	0.4378354199
237	0.4367643105
238	0.4359021489
239	0.435087222
240	0.4341385479
241	0.4328651014
242	0.4318132268
243	0.4306742257
244	0.4298607837
245	0.4281826421
246	0.4270817504
247	0.4261289482
248	0.4252481801
249	0.4243218639
250	0.4232984551
251	0.4221021587
252	0.4210856107
253	0.4202023508
254	0.4195782735
255	0.4184544548
256	0.4171094074
257	0.4158154071
258	0.4144155365
259	0.4139044903
260	0.4128030485
261	0.4120697332
262	0.411107195
263	0.4099895835
264	0.4087697813
265	0.4077517508
266	0.406809386
267	0.4050512739
268	0.4042221814
269	0.4034868266
270	0.402532383
271	0.4014579678
272	0.4007843671
273	0.3999847972
274	0.3992037574
275	0.3980477249
276	0.3972244467
277	0.3965229141
278	0.3955885233
279	0.3946243296
280	0.3936559859
281	0.3922770886
282	0.3914681893
283	0.3909461555
284	0.3900505273
285	0.3886301163
286	0.3878318931
287	0.3869427984
288	0.3860649477
289	0.3846019887
290	0.3837082973
291	0.3827000113
292	0.3819003745
293	0.3810942167
294	0.3800444075
295	0.3783869385
296	0.377033471
297	0.3756754579
298	0.3743396987
299	0.3733790147
300	0.3725842848
301	0.3715295255
302	0.3705020523
303	0.3694627625
304	0.3686016811
305	0.3676469024
306	0.3670822647
307	0.3660917688
308	0.3648708865
309	0.3636576695
310	0.3622579433
311	0.3614054441
312	0.3604600669
313	0.3593928368
314	0.3586099057
315	0.3578334806
316	0.3567286914
317	0.3558328876
318	0.3552556513
319	0.3547851953
320	0.3539611342
321	0.3531210074
322	0.3522724063
323	0.3513593294
324	0.3505742324
325	0.3501478877
326	0.3488733432
327	0.3479284777
328	0.3471746551
329	0.3465530014
330	0.3461662354
331	0.3444213609
332	0.3434014044
333	0.3426567098
334	0.341659651
335	0.3407481607
336	0.3396412392
337	0.3384945816
338	0.3374417703
339	0.3363402007
340	0.3354482142
341	0.3348049194
342	0.3338767999
343	0.3329323511
344	0.3320928931
345	0.3316733284
346	0.3308093314
347	0.3303208527
348	0.3292336361
349	0.3288663959
350	0.3278933464
351	0.3272260418
352	0.3265530148
353	0.3256750738
354	0.3250577779
355	0.3237671092
356	0.3229753791
357	0.3226439563
358	0.3221662179
359	0.3213722973
360	0.3207160693
361	0.3197566709
362	0.3189226365
363	0.3180714689
364	0.3171689856
365	0.3165647959
366	0.3162081867
367	0.3153278836
368	0.31458791
369	0.3138515637
370	0.3130850572
371	0.3120177084
372	0.3112996201
373	0.310432768
374	0.3100520279
375	0.3090694115
376	0.3079709131
377	0.3067433759
378	0.3059612439
379	0.3054119256
380	0.3044779741
381	0.3037445754
382	0.3028883409
383	0.3020634476
384	0.300558128
385	0.2999061181
386	0.2993795345
387	0.2987150422
388	0.2979401704
389	0.2970543924
390	0.2962321966
391	0.2953559756
392	0.2945757251
393	0.2935395716
394	0.2929562058
395	0.2911471681
396	0.2901227411
397	0.2897070836
398	0.288616623
399	0.2877880467
400	0.2869013163
401	0.2861034654
402	0.2857449617
403	0.2848768002
404	0.284387625
405	0.2833441668
406	0.282746615
407	0.2825100799
408	0.2820062137
409	0.2813112728
410	0.280658163
411	0.2798677857
412	0.2790919508
413	0.2784528757
414	0.2773634324
415	0.2768224221
416	0.2765170344
417	0.2756484926
418	0.2752339258
419	0.273971259
420	0.2734174657
421	0.2728654354
422	0.272520644
423	0.2718381333
424	0.2710011302
425	0.2705010907
426	0.269651136
427	0.2690473171
428	0.2685207309
429	0.2682076386
430	0.2675829435
431	0.2669347408
432	0.2662385398
433	0.266026981
434	0.265549312
435	0.2650385537
436	0.2645012726
437	0.2638159275
438	0.263248121
439	0.262519435
440	0.2618874145
441	0.2609420381
442	0.2602692631
443	0.2596686921
444	0.2588692644
445	0.2577313126
446	0.2570036035
447	0.2564091776
448	0.2557449426
449	0.2552691595
450	0.2547882086
451	0.2544485962
452	0.2536740829
453	0.2532369308
454	0.2528910924
455	0.2524305852
456	0.2522077378
457	0.2517535824
458	0.250891446
459	0.250271695
460	0.2498515455
461	0.2491997403
462	0.2486806457
463	0.2479879291
464	0.2469379558
465	0.2463419132
466	0.2458718839
467	0.2454601909
468	0.2450001932
469	0.2442376755
470	0.2437436167
471	0.24331381
472	0.2427780132
473	0.2422540588
474	0.2416087661
475	0.2409697178
476	0.240714928
477	0.2402225612
478	0.2395374476
479	0.2391098148
480	0.2384552701
481	0.2379907169
482	0.2375208516
483	0.2372164508
484	0.2367081216
485	0.2361486515
486	0.2356040789
487	0.2351006128
488	0.2346723212
489	0.2343239996
490	0.2338795733
491	0.2332705502
492	0.2326152671
493	0.2321771523
494	0.2316639796
495	0.2312996754
496	0.2306756014
497	0.2301976721
498	0.2297060887
499	0.2292519529
500	0.2288744741
501	0.2284603355
502	0.2278546905
503	0.2276245438
504	0.2270343418
505	0.2266205376
506	0.2258888802
507	0.2254128748
508	0.2248492386
509	0.2243643603
510	0.2238817157
511	0.2236042241
512	0.2233673424
513	0.2229918649
514	0.2225561528
515	0.2219711181
516	0.2212639177
517	0.220900352
518	0.2200932062
519	0.2195230978
520	0.2191532406
521	0.2186769538
522	0.2180898785
523	0.2175933761
524	0.2170281506
525	0.216536819
526	0.2154582796
527	0.2148042014
528	0.2143032532
529	0.2138169229
530	0.2134545185
531	0.2126730599
532	0.2122757473
533	0.2119669384
534	0.2115984227
535	0.2109268109
536	0.2105891514
537	0.2103376773
538	0.2099715525
539	0.2096575803
540	0.209297732
541	0.208916279
542	0.2084134677
543	0.2080697188
544	0.2076958695
545	0.2075205662
546	0.2071501394
547	0.2068236109
548	0.2064115872
549	0.2062073698
550	0.2057672892
551	0.2052715557
552	0.2047569746
553	0.204355515
554	0.2040009117
555	0.2037102593
556	0.2031730621
557	0.2027209966
558	0.2022511004
559	0.2018957093
560	0.2015114949
561	0.2011864387
562	0.2008437979
563	0.2005828709
564	0.2002004531
565	0.1998851869
566	0.1991696606
567	0.1988123765
568	0.198395408
569	0.198148646
570	0.1977498861
571	0.1971518088
572	0.1968182219
573	0.1966170137
574	0.1962999773
575	0.1958993051
576	0.1955902138
577	0.1952265684
578	0.1950598514
579	0.194649847
580	0.1940851375
581	0.193690554
582	0.1932599839
583	0.192859771
584	0.1923438457
585	0.1919477888
586	0.1914592684
587	0.1908394724
588	0.1905444686
589	0.1901413256
590	0.1896559598
591	0.1893147753
592	0.1887285406
593	0.1882506022
594	0.1877977046
595	0.1873892659
596	0.1870135881
597	0.1866623097
598	0.1862112281
599	0.185625791
600	0.1853490029
601	0.1849429762
602	0.1842907955
603	0.1840236592
604	0.1836433537
605	0.1832506859
606	0.1829695026
607	0.1826735257
608	0.1821174202
609	0.1817262903
610	0.1814111634
611	0.1811401649
612	0.1808169534
613	0.180552044
614	0.1799555973
615	0.1796403179
616	0.1793773748
617	0.1790953951
618	0.1786343066
619	0.1783620046
620	0.1780333409
621	0.1774902761
622	0.1772181839
623	0.1769560054
624	0.1765781152
625	0.1761171408
626	0.1759482803
627	0.1755815934
628	0.1753228726
629	0.175080054
630	0.1748007961
631	0.1745437623
632	0.1741844294
633	0.1738958273
634	0.1735895777
635	0.1732694506
636	0.1728527466
637	0.1725416179
638	0.1722246847
639	0.1718157357
640	0.1712499292
641	0.1709168406
642	0.1707203649
643	0.1704934014
644	0.17008193
645	0.1695990952
646	0.1690464635
647	0.1687834518
648	0.1686026358
649	0.1683248285
650	0.1679522984
651	0.1676529057
652	0.1672979223
653	0.1670014599
654	0.1667808255
655	0.1662972328
656	0.1661915929
657	0.1659401116
658	0.1656227992
659	0.1653942336
660	0.165164396
661	0.1648873857
662	0.1646416874
663	0.164341307
664	0.1638476325
665	0.1636502576
666	0.1633869405
667	0.1630890265
668	0.1628472062
669	0.162244642
670	0.1619863189
671	0.1617673288
672	0.1614375135
673	0.161192908
674	0.1610505915
675	0.1607151612
676	0.1602372122
677	0.1599039978
678	0.1596977276
679	0.1594061101
680	0.1590832568
681	0.1589543419
682	0.1586214621
683	0.1584713064
684	0.1581579933
685	0.1578398177
686	0.1575268867
687	0.1570410674
688	0.156584321
689	0.1563744433
690	0.1561502756
691	0.1560443581
692	0.1555690717
693	0.1550056218
694	0.1548159385
695	0.1545278673
696	0.154058921
697	0.1537793166
698	0.1534193779
699	0.1532292238
700	0.1528894368
701	0.1526232142
702	0.1523485481
703	0.1521943391
704	0.1519578666
705	0.151617883
706	0.1513950625
707	0.1511211591
708	0.1508051389
709	0.1504771725
710	0.150208366
711	0.1499198363
712	0.1496578662
713	0.1493378127
714	0.1489636954
715	0.1488429678
716	0.1486409413
717	0.1483136319
718	0.1480900176
719	0.1478599142
720	0.1477187655
721	0.1474731884
722	0.147297607
723	0.1470527273
724	0.1467345976
725	0.1464810786
726	0.1462318195
727	0.1460634085
728	0.1457280661
729	0.1455284032
730	0.1452609355
731	0.144968361
732	0.1447671905
733	0.144266022
734	0.1440300693
735	0.1438293813
736	0.1433588256
737	0.1431933188
738	0.1430762885
739	0.1428475976
740	0.1424269824
741	0.1420667874
742	0.1418513577
743	0.1416825234
744	0.1414629717
745	0.141267254
746	0.1410577678
747	0.1406412915
748	0.1402179525
749	0.1400282198
750	0.1396319253
751	0.1394995308
752	0.1392698762
753	0.1390962093
754	0.1388511892
755	0.1386200409
756	0.1384649563
757	0.1382746329
758	0.1380810663
759	0.1378988554
760	0.1376380921
761	0.1373612655
762	0.1371143982
763	0.1369499658
764	0.1367694383
765	0.1365553399
766	0.1362832154
767	0.1359661166
768	0.1357189847
769	0.1356352764
770	0.1353764364
771	0.1351795917
772	0.1349499764
773	0.1347938405
774	0.1346080563
775	0.1344328166
776	0.134346025
777	0.1341783888
778	0.1338880104
779	0.1336849729
780	0.1331812601
781	0.1328203978
782	0.1324597166
783	0.1322106073
784	0.1320541104
785	0.1318193958
786	0.1316099248
787	0.1314728586
788	0.1311457509
789	0.1309794419
790	0.1307365012
791	0.130420638
792	0.1301318516
793	0.1299916432
794	0.1297377858
795	0.129440122
796	0.1292826468
797	0.1290790377
798	0.1288464201
799	0.1285617839
800	0.1283798358
801	0.128178081
802	0.1279460202
803	0.1277317172
804	0.1274889522
805	0.127369345
806	0.1271175765
807	0.1267773083
808	0.1265916566
809	0.1263926628
810	0.1263283639
811	0.1261159288
812	0.125930871
813	0.1257270012
814	0.1253802408
815	0.125317354
816	0.1251339109
817	0.1249538476
818	0.1247542625
819	0.1242720573
820	0.124200456
821	0.1240364846
822	0.123841337
823	0.1236123381
824	0.1233425329
825	0.1231375503
826	0.1229339597
827	0.1226453587
828	0.1224402473
829	0.1223473533
830	0.1221575647
831	0.1218111165
832	0.1215582358
833	0.1213558394
834	0.1212901025
835	0.1210555
836	0.1209230622
837	0.120672184
838	0.1205143849
839	0.1202386308
840	0.1199618694
841	0.1197987942
842	0.1196541141
843	0.1194928851
844	0.1193459914
845	0.1191233926
846	0.1189355863
847	0.1187131501
848	0.1185691258
849	0.1183403393
850	0.1181748583
851	0.1179220872
852	0.1178115082
853	0.1176799303
854	0.1175166421
855	0.1173655127
856	0.1171802021
857	0.1171328374
858	0.1169847665
859	0.116841079
860	0.1166931531
861	0.1164558705
862	0.1163080107
863	0.1160428986
864	0.1159006457
865	0.1157190119
866	0.1155956566
867	0.1153817472
868	0.1152183662
869	0.1150938341
870	0.1150139957
871	0.1147751114
872	0.1145533324
873	0.1144597882
874	0.1143465757
875	0.1141742161
876	0.113943508
877	0.1137966421
878	0.1136346561
879	0.1135058883
880	0.1132738356
881	0.1131114492
882	0.1129177418
883	0.112756492
884	0.1126249724
885	0.1124697949
886	0.1122905563
887	0.1121664327
888	0.1119428272
889	0.1117486822
890	0.1115351126
891	0.1114101535
892	0.1111779922
893	0.1111162032
894	0.1108622318
895	0.110692263
896	0.1106213432
897	0.1104462865
898	0.1102914915
899	0.1101466992
900	0.1099509551
901	0.1097969244
902	0.1097128262
903	0.1096032758
904	0.1094663778
905	0.1092867201
906	0.1091146428
907	0.1090009271
908	0.1088400535
909	0.1086440374
910	0.1084988603
911	0.1083655789
912	0.1082348991
913	0.1080962498
914	0.1079746606
915	0.1078210113
916	0.1076508527
917	0.1074834327
918	0.1073578121
919	0.1072498654
920	0.1071800947
921	0.1070358672
922	0.1069338212
923	0.1067917097
924	0.106481009
925	0.1063583647
926	0.1061511541
927	0.1059650014
928	0.105687195
929	0.1055049036
930	0.1053646465
931	0.1052622517
932	0.1051168466
933	0.1050514733
934	0.104915255
935	0.1047778496
936	0.1046016217
937	0.1043629048
938	0.1041481169
939	0.104040173
940	0.1038709034
941	0.1037628732
942	0.1036190063
943	0.1035071321
944	0.1034123469
945	0.1031121781
946	0.1030196812
947	0.1027677663
948	0.1025634555
949	0.1023990645
950	0.1022966375
951	0.1021398778
952	0.1019751089
953	0.1018331318
954	0.1017588022
955	0.1016350087
956	0.1015108029
957	0.1013423356
958	0.1012316142
959	0.1010962131
960	0.1008830272
961	0.1007212596
962	0.1004576682
963	0.1002922614
964	0.1001674414
965	0.09998995322
966	0.09987964841
967	0.09978172432
968	0.09971476097
969	0.09958391818
970	0.09953113443
971	0.09938943537
972	0.09922108239
973	0.0991055101
974	0.09885349414
975	0.09875122272
976	0.09857439857
977	0.09830628017
978	0.09812903185
979	0.09801942553
980	0.09788708263
981	0.09776147749
982	0.09766346418
983	0.09756890905
984	0.09735110699
985	0.09722570232
986	0.09696348288
987	0.09687110291
988	0.09669283496
989	0.09657432063
990	0.09640589562
991	0.09625611511
992	0.09612195759
993	0.09584410077
994	0.09566594884
995	0.09547666178
996	0.09532811871
997	0.09519237307
998	0.09500548161
999	0.09489726092
