iter	Passed	Remaining
0	15	4431
1	28	4008
2	43	3988
3	56	3897
4	71	3948
5	85	3906
6	98	3832
7	112	3827
8	125	3781
9	138	3727
10	154	3767
11	167	3731
12	181	3728
13	193	3683
14	208	3680
15	222	3663
16	233	3619
17	260	3790
18	272	3747
19	287	3741
20	301	3715
21	314	3693
22	328	3672
23	343	3664
24	364	3718
25	377	3687
26	391	3672
27	404	3644
28	418	3622
29	431	3595
30	444	3569
31	459	3559
32	471	3532
33	484	3507
34	499	3497
35	512	3472
36	525	3448
37	539	3438
38	552	3416
39	568	3412
40	582	3394
41	596	3378
42	609	3356
43	622	3337
44	635	3319
45	649	3304
46	662	3284
47	679	3283
48	692	3264
49	707	3252
50	720	3234
51	732	3213
52	750	3213
53	763	3195
54	778	3183
55	790	3163
56	803	3144
57	818	3132
58	830	3110
59	845	3098
60	859	3084
61	871	3064
62	885	3050
63	898	3033
64	911	3014
65	925	3000
66	938	2984
67	953	2971
68	966	2954
69	979	2938
70	993	2925
71	1008	2912
72	1020	2894
73	1035	2881
74	1047	2863
75	1061	2850
76	1075	2835
77	1087	2816
78	1102	2805
79	1115	2789
80	1128	2773
81	1143	2759
82	1155	2743
83	1169	2728
84	1182	2712
85	1196	2700
86	1210	2686
87	1223	2669
88	1237	2656
89	1251	2642
90	1263	2624
91	1278	2612
92	1291	2596
93	1306	2584
94	1319	2570
95	1341	2571
96	1354	2556
97	1368	2541
98	1381	2526
99	1395	2511
100	1409	2497
101	1422	2481
102	1436	2467
103	1451	2455
104	1463	2439
105	1478	2426
106	1499	2423
107	1516	2415
108	1530	2400
109	1544	2386
110	1558	2372
111	1570	2356
112	1585	2342
113	1597	2326
114	1610	2311
115	1624	2296
116	1638	2282
117	1652	2268
118	1665	2253
119	1678	2237
120	1694	2226
121	1707	2211
122	1722	2198
123	1735	2183
124	1760	2182
125	1773	2167
126	1787	2152
127	1799	2137
128	1827	2139
129	1841	2125
130	1854	2109
131	1869	2096
132	1881	2079
133	1896	2066
134	1909	2051
135	1921	2034
136	1937	2022
137	1951	2007
138	1964	1993
139	1979	1979
140	1992	1964
141	2006	1950
142	2019	1934
143	2033	1920
144	2052	1911
145	2066	1896
146	2080	1882
147	2093	1866
148	2108	1853
149	2120	1838
150	2134	1823
151	2148	1809
152	2161	1794
153	2175	1780
154	2190	1766
155	2202	1750
156	2216	1736
157	2229	1721
158	2243	1706
159	2257	1693
160	2270	1678
161	2286	1665
162	2299	1650
163	2312	1635
164	2327	1622
165	2346	1611
166	2362	1598
167	2375	1583
168	2388	1569
169	2404	1556
170	2418	1541
171	2435	1529
172	2448	1514
173	2462	1500
174	2476	1485
175	2488	1470
176	2503	1456
177	2515	1441
178	2528	1426
179	2543	1412
180	2555	1397
181	2570	1383
182	2583	1369
183	2595	1354
184	2610	1340
185	2623	1325
186	2637	1311
187	2650	1297
188	2663	1282
189	2678	1268
190	2691	1254
191	2705	1239
192	2718	1225
193	2731	1210
194	2745	1196
195	2758	1182
196	2772	1168
197	2788	1154
198	2800	1139
199	2814	1125
200	2828	1111
201	2842	1097
202	2855	1083
203	2868	1068
204	2880	1053
205	2894	1039
206	2907	1025
207	2923	1012
208	2936	997
209	2950	983
210	2964	969
211	2976	954
212	2992	941
213	3005	926
214	3020	913
215	3034	899
216	3047	884
217	3061	870
218	3073	856
219	3089	842
220	3102	828
221	3114	813
222	3130	800
223	3155	788
224	3167	774
225	3181	760
226	3194	745
227	3208	731
228	3221	717
229	3237	703
230	3250	689
231	3265	675
232	3278	661
233	3291	647
234	3305	633
235	3318	618
236	3334	604
237	3348	590
238	3369	578
239	3383	563
240	3397	549
241	3410	535
242	3423	521
243	3438	507
244	3450	492
245	3465	479
246	3479	464
247	3492	450
248	3506	436
249	3519	422
250	3533	408
251	3546	394
252	3559	379
253	3573	365
254	3586	351
255	3599	337
256	3612	323
257	3626	309
258	3639	295
259	3654	281
260	3683	268
261	3697	254
262	3709	239
263	3724	225
264	3738	211
265	3751	197
266	3766	183
267	3780	169
268	3794	155
269	3806	140
270	3820	126
271	3835	112
272	3848	98
273	3861	84
274	3875	70
275	3888	56
276	3903	42
277	3917	28
278	3932	14
279	3944	0
